,town,K12_SCHOOL_NAME,K12_DISTRICT_NUMBER,K12_GRAD_SCHOOL_YEAR,PSI_AGE,PSI_GENDER,PSI_CIP_2DIGIT_DESCRIPTION,to_psi,count,latitude,longitude,simplified_cip,cip_helper
1,Burns Lake,Lakes District Secondary,91,2009-2010,19,F,High school/secondary diploma and certificate programs,CNC,1,54.2334,-125.7636,ABE,1
2,Burns Lake,Lakes District Secondary,91,2005-2006,(blank),(blank),(blank),no_transfer_yet,15,54.2334,-125.7636,(blank),0
3,Burns Lake,Lakes District Secondary,91,2006-2007,19,F,Personal and culinary services,CNC,1,54.2334,-125.7636,Culinary,6
4,Burns Lake,Lakes District Secondary,91,2010-2011,20,M,"Liberal arts and sciences, general studies and humanities",CNC,1,54.2334,-125.7636,Arts,2
5,Burns Lake,Lakes District Secondary,91,2006-2007,19,F,"Business, management, marketing and related support services",TRU,1,54.2334,-125.7636,Business,3
6,Burns Lake,Lakes District Secondary,91,2007-2008,18,F,"Liberal arts and sciences, general studies and humanities",CNC,1,54.2334,-125.7636,Arts,2
7,Burns Lake,Lakes District Secondary,91,2007-2008,18,F,"Business, management, marketing and related support services",CNC,1,54.2334,-125.7636,Business,3
8,Burns Lake,Lakes District Secondary,91,2007-2008,18,F,Construction trades,CNC,1,54.2334,-125.7636,Construction,5
9,Burns Lake,Lakes District Secondary,91,2005-2006,23,M,"Liberal arts and sciences, general studies and humanities",CNC,1,54.2334,-125.7636,Arts,2
10,Burns Lake,Lakes District Secondary,91,2008-2009,17,M,"Liberal arts and sciences, general studies and humanities",VIU,1,54.2334,-125.7636,Arts,2
11,Burns Lake,Lakes District Secondary,91,2012-2013,17,F,Health professions and related programs,UFV,1,54.2334,-125.7636,Health,8
12,Burns Lake,Lakes District Secondary,91,2007-2008,17,F,Biological and biomedical sciences,UNBC,1,54.2334,-125.7636,STEM,10
13,Burns Lake,Lakes District Secondary,91,2005-2006,19,F,Security and protective services,CNC,1,54.2334,-125.7636,CES,4
14,Burns Lake,Lakes District Secondary,91,2005-2006,23,M,Natural resources and conservation,CNC,1,54.2334,-125.7636,Natural Resource,9
15,Burns Lake,Lakes District Secondary,91,2007-2008,18,F,Biological and biomedical sciences,UNBC,1,54.2334,-125.7636,STEM,10
16,Burns Lake,Lakes District Secondary,91,2009-2010,21,M,Security and protective services,CNC,1,54.2334,-125.7636,CES,4
17,Burns Lake,Lakes District Secondary,91,2011-2012,17,F,Health professions and related programs,CNC,1,54.2334,-125.7636,Health,8
18,Burns Lake,Lakes District Secondary,91,2007-2008,19,M,Precision production,CNC,1,54.2334,-125.7636,Trades,11
