year,programTitle,Program Code,PLU,Sum Credits,location,sumFTE,abo,imm
2009-10,Aboriginal Community Mental Health Worker,ACMHW,SCH,1,MO,0,Y,00
2009-10,Aboriginal Community Mental Health Worker,ACMHW,SCH,25,SM,0.933873144,N,00
2009-10,Aboriginal Community Mental Health Worker,ACMHW,SCH,108.5,SM,4.029689609,Y,00
2009-10,Aboriginal Community Mental Health Worker,ACMHW,SCH,252,SM,0.328125,N,00
2009-10,Aboriginal Community Mental Health Worker,ACMHW,SCH,1008,SM,1.3125,Y,00
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,15,SM,0.634278003,N,00
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,48,SM,2.024291498,Y,00
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,KS,0.033333333,Y,00
2011-12,Aboriginal Community Mental Health Worker,ACMHW,SCH,6,HA,0.01,Y,00
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,191,HA,7.584345479,Y,00
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,1519.286,HA,1.978236979,Y,00
2013-14,Aboriginal Community Mental Health Worker,ACMHW,SCH,4.5,HA,0.195681511,Y,00
2009-10,Aboriginal Health Access,AHACC,SCH,228,PS,0,Y,00
2009-10,Aboriginal Health Access,AHACC,SCH,15,PS,0,,00
2009-10,Aboriginal Health Access,AHACC,SCH,4950,PS,6.6,Y,00
2016-17,ACE IT Plumbing Foundations,ACPLUMF,SCH,0,PR,0,,00
2016-17,ACE IT Plumbing Foundations,ACPLUMF,SCH,1260,PR,2,,00
2009-10,ACEIT Carpentry - Entry Level,ACCARPY,SCH,24,SM,0.04,N,00
2009-10,ACEIT Carpentry - Entry Level,ACCARPY,SCH,8,SM,0.013333333,,00
2009-10,ACEIT Electrical,ACELTR,SCH,0,PR,0,Y,00
2009-10,ACEIT Electrical,ACELTR,SCH,0,PR,0,,00
2009-10,ACEIT Electrical,ACELTR,SCH,330,PR,0.458333333,Y,00
