"","year","programTitle","Program Code","PLU","Sum Credits","location","sumFTE","abo","imm","cluster","studentType"
"1","2009-10","Aboriginal Community Mental Health Worker","ACMHW","SCH",1,"MO",0,"Y","00","health","fn"
"2","2009-10","Aboriginal Community Mental Health Worker","ACMHW","SCH",25,"SM",0.933873144,"N","00","health",NA
"3","2009-10","Aboriginal Community Mental Health Worker","ACMHW","SCH",108.5,"SM",4.029689609,"Y","00","health","fn"
"4","2009-10","Aboriginal Community Mental Health Worker","ACMHW","SCH",252,"SM",0.328125,"N","00","health",NA
"5","2009-10","Aboriginal Community Mental Health Worker","ACMHW","SCH",1008,"SM",1.3125,"Y","00","health","fn"
"6","2010-11","Aboriginal Community Mental Health Worker","ACMHW","SCH",15,"SM",0.634278003,"N","00","health",NA
"7","2010-11","Aboriginal Community Mental Health Worker","ACMHW","SCH",48,"SM",2.024291498,"Y","00","health","fn"
"8","2010-11","Aboriginal Community Mental Health Worker","ACMHW","SCH",20,"KS",0.033333333,"Y","00","health","fn"
"9","2011-12","Aboriginal Community Mental Health Worker","ACMHW","SCH",6,"HA",0.01,"Y","00","health","fn"
"10","2012-13","Aboriginal Community Mental Health Worker","ACMHW","SCH",191,"HA",7.584345479,"Y","00","health","fn"
"11","2012-13","Aboriginal Community Mental Health Worker","ACMHW","SCH",1519.286,"HA",1.978236979,"Y","00","health","fn"
"12","2013-14","Aboriginal Community Mental Health Worker","ACMHW","SCH",4.5,"HA",0.195681511,"Y","00","health","fn"
"13","2009-10","Aboriginal Health Access","AHACC","SCH",228,"PS",0,"Y","00","health","fn"
"14","2009-10","Aboriginal Health Access","AHACC","SCH",15,"PS",0,NA,"00","health",NA
"15","2009-10","Aboriginal Health Access","AHACC","SCH",4950,"PS",6.6,"Y","00","health","fn"
"16","2016-17","ACE IT Plumbing Foundations","ACPLUMF","SCH",0,"PR",0,NA,"00","trades",NA
"17","2016-17","ACE IT Plumbing Foundations","ACPLUMF","SCH",1260,"PR",2,NA,"00","trades",NA
"18","2009-10","ACEIT Carpentry - Entry Level","ACCARPY","SCH",24,"SM",0.04,"N","00","trades",NA
"19","2009-10","ACEIT Carpentry - Entry Level","ACCARPY","SCH",8,"SM",0.013333333,NA,"00","trades",NA
"20","2009-10","ACEIT Electrical","ACELTR","SCH",0,"PR",0,"Y","00","trades","fn"
"21","2009-10","ACEIT Electrical","ACELTR","SCH",0,"PR",0,NA,"00","trades",NA
"22","2009-10","ACEIT Electrical","ACELTR","SCH",330,"PR",0.458333333,"Y","00","trades","fn"
"23","2009-10","ACEIT Electrical","ACELTR","SCH",330,"PR",0.458333333,NA,"00","trades",NA
"24","2014-15","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",0,"TE",0,"N","00","trades",NA
"25","2014-15","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",0,"TE",0,"Y","00","trades","fn"
"26","2014-15","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",4320,"TE",4,"N","00","trades",NA
"27","2014-15","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",1080,"TE",1,"Y","00","trades","fn"
"28","2015-16","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",0,"TE",0,"N","00","trades",NA
"29","2015-16","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",0,"TE",0,"Y","00","trades","fn"
"30","2015-16","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",2160,"TE",2,"N","00","trades",NA
"31","2015-16","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",2160,"TE",2,"Y","00","trades","fn"
"32","2016-17","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",0,"TE",0,NA,"00","trades",NA
"33","2016-17","ACEIT Heavy Mechanical Foundation","ACHMF","SCH",8640,"TE",8,NA,"00","trades",NA
"34","2012-13","ACEIT Welder Foundation","ACWELDF","SCH",1.5,"PR",0.0025,"N","00","trades",NA
"35","2013-14","ACEIT Welder Foundation","ACWELDF","SCH",1.5,"PR",0.0025,"N","00","trades",NA
"36","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",0,"PR",0,"N","00","trades",NA
"37","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",0,"PR",0,"Y","00","trades","fn"
"38","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",0,"PR",0,NA,"00","trades",NA
"39","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"N","00","trades",NA
"40","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"Y","00","trades","fn"
"41","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",2520,"PR",3,"N","00","trades",NA
"42","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",840,"PR",1,"Y","00","trades","fn"
"43","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",840,"PR",1,NA,"00","trades",NA
"44","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",3360,"TE",4,"N","00","trades",NA
"45","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",1680,"TE",2,"Y","00","trades","fn"
"46","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"N","00","trades",NA
"47","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"Y","00","trades","fn"
"48","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",7,"PR",0.011666667,"N","00","trades",NA
"49","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",7,"PR",0.011666667,"Y","00","trades","fn"
"50","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",7,"PR",0.011666667,NA,"00","trades",NA
"51","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",325.716,"TE",0.54286,"N","00","trades",NA
"52","2014-15","ACEIT Welder Foundation","ACWELDF","SCH",162.858,"TE",0.27143,"Y","00","trades","fn"
"53","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"PR",0,"N","00","trades",NA
"54","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"PR",0,NA,"00","trades",NA
"55","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"N","00","trades",NA
"56","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"Y","00","trades","fn"
"57","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,NA,"00","trades",NA
"58","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",1680,"PR",2,"N","00","trades",NA
"59","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",1680,"PR",2,NA,"00","trades",NA
"60","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",5040,"TE",6,"N","00","trades",NA
"61","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",4200,"TE",5,"Y","00","trades","fn"
"62","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",5040,"TE",6,NA,"00","trades",NA
"63","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"N","00","trades",NA
"64","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"Y","00","trades","fn"
"65","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,NA,"00","trades",NA
"66","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"PR",0,"N","00","trades",NA
"67","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",0,"PR",0,NA,"00","trades",NA
"68","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",595.717,"TE",0.992861667,"N","00","trades",NA
"69","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",325.716,"TE",0.54286,"Y","00","trades","fn"
"70","2015-16","ACEIT Welder Foundation","ACWELDF","SCH",16,"TE",0.026666667,NA,"00","trades",NA
"71","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"N","00","trades",NA
"72","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"Y","00","trades","fn"
"73","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,NA,"00","trades",NA
"74","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",1680,"TE",2,"N","00","trades",NA
"75","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",2520,"TE",3,"Y","00","trades","fn"
"76","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",9240,"TE",11,NA,"00","trades",NA
"77","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",0,"PR",0,"N","00","trades",NA
"78","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",0,"PR",0,NA,"00","trades",NA
"79","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",222.858,"PR",0.37143,"N","00","trades",NA
"80","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",222.858,"PR",0.37143,NA,"00","trades",NA
"81","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",694.287,"TE",1.157145,"N","00","trades",NA
"82","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",0,"TE",0,"Y","00","trades","fn"
"83","2016-17","ACEIT Welder Foundation","ACWELDF","SCH",231.429,"TE",0.385715,NA,"00","trades",NA
"84","2009-10","ACEIT Welding","ACWELD","SCH",0,"PR",0,"N","00","trades",NA
"85","2009-10","ACEIT Welding","ACWELD","SCH",0,"PR",0,"Y","00","trades","fn"
"86","2009-10","ACEIT Welding","ACWELD","SCH",0,"TE",0,"N","00","trades",NA
"87","2009-10","ACEIT Welding","ACWELD","SCH",0,"TE",0,"Y","00","trades","fn"
"88","2009-10","ACEIT Welding","ACWELD","SCH",1058.572,"PR",1.260204762,"N","00","trades",NA
"89","2009-10","ACEIT Welding","ACWELD","SCH",3175.716,"PR",3.780614286,"Y","00","trades","fn"
"90","2009-10","ACEIT Welding","ACWELD","SCH",5292.86,"TE",6.30102381,"N","00","trades",NA
"91","2009-10","ACEIT Welding","ACWELD","SCH",8,"TE",0.013333333,"N","00","trades",NA
"92","2009-10","ACEIT Welding","ACWELD","SCH",33,"PR",0.055,"Y","00","trades","fn"
"93","2009-10","ACEIT Welding","ACWELD","SCH",12.5,"PR",0.020833333,"N","00","trades",NA
"94","2009-10","ACEIT Welding","ACWELD","SCH",1058.572,"TE",1.260204762,"Y","00","trades","fn"
"95","2010-11","ACEIT Welding","ACWELD","SCH",0,"PR",0,"N","00","trades",NA
"96","2010-11","ACEIT Welding","ACWELD","SCH",0,"TE",0,"N","00","trades",NA
"97","2010-11","ACEIT Welding","ACWELD","SCH",0,"TE",0,"Y","00","trades","fn"
"98","2010-11","ACEIT Welding","ACWELD","SCH",5721.43,"PR",6.81122619,"N","00","trades",NA
"99","2010-11","ACEIT Welding","ACWELD","SCH",2738.572,"TE",3.260204762,"N","00","trades",NA
"100","2010-11","ACEIT Welding","ACWELD","SCH",1084.286,"TE",1.290816667,"Y","00","trades","fn"
"101","2010-11","ACEIT Welding","ACWELD","SCH",63.5,"PR",0.105833333,"N","00","trades",NA
"102","2010-11","ACEIT Welding","ACWELD","SCH",19.5,"TE",0.0325,"N","00","trades",NA
"103","2011-12","ACEIT Welding","ACWELD","SCH",0,"PR",0,"N","00","trades",NA
"104","2011-12","ACEIT Welding","ACWELD","SCH",0,"TE",0,"N","00","trades",NA
