"","town","to_psi","K12_GRAD_SCHOOL_YEAR","psi_class","latitude","longitude","count"
"1","Burns Lake","BCIT","2004-2005","non-NWCC",54.2334,-125.7636,2
"2","Burns Lake","BCIT","2005-2006","non-NWCC",54.2334,-125.7636,2
"3","Burns Lake","BCIT","2006-2007","non-NWCC",54.2334,-125.7636,0
"4","Burns Lake","BCIT","2007-2008","non-NWCC",54.2334,-125.7636,1
"5","Burns Lake","BCIT","2008-2009","non-NWCC",54.2334,-125.7636,0
"6","Burns Lake","BCIT","2009-2010","non-NWCC",54.2334,-125.7636,0
"7","Burns Lake","BCIT","2010-2011","non-NWCC",54.2334,-125.7636,0
"8","Burns Lake","BCIT","2011-2012","non-NWCC",54.2334,-125.7636,0
"9","Burns Lake","BCIT","2012-2013","non-NWCC",54.2334,-125.7636,0
"10","Burns Lake","BCIT","2013-2014","non-NWCC",54.2334,-125.7636,0
"11","Burns Lake","CAM","2004-2005","non-NWCC",54.2334,-125.7636,1
"12","Burns Lake","CAM","2005-2006","non-NWCC",54.2334,-125.7636,1
"13","Burns Lake","CAM","2006-2007","non-NWCC",54.2334,-125.7636,1
"14","Burns Lake","CAM","2007-2008","non-NWCC",54.2334,-125.7636,0
"15","Burns Lake","CAM","2008-2009","non-NWCC",54.2334,-125.7636,2
"16","Burns Lake","CAM","2009-2010","non-NWCC",54.2334,-125.7636,2
"17","Burns Lake","CAM","2010-2011","non-NWCC",54.2334,-125.7636,1
"18","Burns Lake","CAM","2011-2012","non-NWCC",54.2334,-125.7636,0
"19","Burns Lake","CAM","2012-2013","non-NWCC",54.2334,-125.7636,0
"20","Burns Lake","CAM","2013-2014","non-NWCC",54.2334,-125.7636,0
"21","Burns Lake","CAPU","2004-2005","non-NWCC",54.2334,-125.7636,0
"22","Burns Lake","CAPU","2005-2006","non-NWCC",54.2334,-125.7636,0
"23","Burns Lake","CAPU","2006-2007","non-NWCC",54.2334,-125.7636,0
"24","Burns Lake","CAPU","2007-2008","non-NWCC",54.2334,-125.7636,0
"25","Burns Lake","CAPU","2008-2009","non-NWCC",54.2334,-125.7636,1
"26","Burns Lake","CAPU","2009-2010","non-NWCC",54.2334,-125.7636,0
"27","Burns Lake","CAPU","2010-2011","non-NWCC",54.2334,-125.7636,0
"28","Burns Lake","CAPU","2011-2012","non-NWCC",54.2334,-125.7636,1
"29","Burns Lake","CAPU","2012-2013","non-NWCC",54.2334,-125.7636,0
"30","Burns Lake","CAPU","2013-2014","non-NWCC",54.2334,-125.7636,0
"31","Burns Lake","CNC","2004-2005","non-NWCC",54.2334,-125.7636,37
"32","Burns Lake","CNC","2005-2006","non-NWCC",54.2334,-125.7636,42
"33","Burns Lake","CNC","2006-2007","non-NWCC",54.2334,-125.7636,34
"34","Burns Lake","CNC","2007-2008","non-NWCC",54.2334,-125.7636,31
"35","Burns Lake","CNC","2008-2009","non-NWCC",54.2334,-125.7636,27
"36","Burns Lake","CNC","2009-2010","non-NWCC",54.2334,-125.7636,48
"37","Burns Lake","CNC","2010-2011","non-NWCC",54.2334,-125.7636,41
"38","Burns Lake","CNC","2011-2012","non-NWCC",54.2334,-125.7636,42
"39","Burns Lake","CNC","2012-2013","non-NWCC",54.2334,-125.7636,22
"40","Burns Lake","CNC","2013-2014","non-NWCC",54.2334,-125.7636,17
"41","Burns Lake","COTR","2004-2005","non-NWCC",54.2334,-125.7636,0
"42","Burns Lake","COTR","2005-2006","non-NWCC",54.2334,-125.7636,0
"43","Burns Lake","COTR","2006-2007","non-NWCC",54.2334,-125.7636,0
"44","Burns Lake","COTR","2007-2008","non-NWCC",54.2334,-125.7636,0
"45","Burns Lake","COTR","2008-2009","non-NWCC",54.2334,-125.7636,0
"46","Burns Lake","COTR","2009-2010","non-NWCC",54.2334,-125.7636,0
"47","Burns Lake","COTR","2010-2011","non-NWCC",54.2334,-125.7636,1
"48","Burns Lake","COTR","2011-2012","non-NWCC",54.2334,-125.7636,0
"49","Burns Lake","COTR","2012-2013","non-NWCC",54.2334,-125.7636,0
"50","Burns Lake","COTR","2013-2014","non-NWCC",54.2334,-125.7636,0
"51","Burns Lake","DOUG","2004-2005","non-NWCC",54.2334,-125.7636,1
"52","Burns Lake","DOUG","2005-2006","non-NWCC",54.2334,-125.7636,1
"53","Burns Lake","DOUG","2006-2007","non-NWCC",54.2334,-125.7636,2
"54","Burns Lake","DOUG","2007-2008","non-NWCC",54.2334,-125.7636,0
"55","Burns Lake","DOUG","2008-2009","non-NWCC",54.2334,-125.7636,0
"56","Burns Lake","DOUG","2009-2010","non-NWCC",54.2334,-125.7636,0
"57","Burns Lake","DOUG","2010-2011","non-NWCC",54.2334,-125.7636,0
"58","Burns Lake","DOUG","2011-2012","non-NWCC",54.2334,-125.7636,1
"59","Burns Lake","DOUG","2012-2013","non-NWCC",54.2334,-125.7636,0
"60","Burns Lake","DOUG","2013-2014","non-NWCC",54.2334,-125.7636,0
"61","Burns Lake","ECU","2004-2005","non-NWCC",54.2334,-125.7636,0
"62","Burns Lake","ECU","2005-2006","non-NWCC",54.2334,-125.7636,0
"63","Burns Lake","ECU","2006-2007","non-NWCC",54.2334,-125.7636,0
"64","Burns Lake","ECU","2007-2008","non-NWCC",54.2334,-125.7636,1
"65","Burns Lake","ECU","2008-2009","non-NWCC",54.2334,-125.7636,0
"66","Burns Lake","ECU","2009-2010","non-NWCC",54.2334,-125.7636,0
"67","Burns Lake","ECU","2010-2011","non-NWCC",54.2334,-125.7636,0
"68","Burns Lake","ECU","2011-2012","non-NWCC",54.2334,-125.7636,0
"69","Burns Lake","ECU","2012-2013","non-NWCC",54.2334,-125.7636,0
"70","Burns Lake","ECU","2013-2014","non-NWCC",54.2334,-125.7636,0
"71","Burns Lake","JIBC","2004-2005","non-NWCC",54.2334,-125.7636,0
"72","Burns Lake","JIBC","2005-2006","non-NWCC",54.2334,-125.7636,0
"73","Burns Lake","JIBC","2006-2007","non-NWCC",54.2334,-125.7636,1
"74","Burns Lake","JIBC","2007-2008","non-NWCC",54.2334,-125.7636,0
"75","Burns Lake","JIBC","2008-2009","non-NWCC",54.2334,-125.7636,0
"76","Burns Lake","JIBC","2009-2010","non-NWCC",54.2334,-125.7636,0
"77","Burns Lake","JIBC","2010-2011","non-NWCC",54.2334,-125.7636,0
"78","Burns Lake","JIBC","2011-2012","non-NWCC",54.2334,-125.7636,1
"79","Burns Lake","JIBC","2012-2013","non-NWCC",54.2334,-125.7636,0
"80","Burns Lake","JIBC","2013-2014","non-NWCC",54.2334,-125.7636,0
"81","Burns Lake","KPU","2004-2005","non-NWCC",54.2334,-125.7636,0
"82","Burns Lake","KPU","2005-2006","non-NWCC",54.2334,-125.7636,0
"83","Burns Lake","KPU","2006-2007","non-NWCC",54.2334,-125.7636,0
"84","Burns Lake","KPU","2007-2008","non-NWCC",54.2334,-125.7636,0
