year,Program Type,programTitle,FTE,fte,Id Number,count
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.682291667,0.68,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.184152344,0.18,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.001674479,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.085378906,0.09,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.948661458,0.95,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.060268229,0.06,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.354911458,0.35,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.241815104,0.24,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.511532552,0.51,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.511532552,0.51,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.1640625,0.16,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0,0,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.241071615,0.24,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.112165365,0.11,---,1
2009-10,1: Developmental,* Developmental Activity in non Developmental Programs,0.002473958,0,---,1
