year,programTitle,Program Code,PLU,Sum Credits,location,rawfte,fte,id,count
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,7.5,SM,0.317139001,0.3,---,1
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,7.5,SM,0.317139001,0.3,---,1
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,7.5,SM,0.317139001,0.3,---,1
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,7.5,SM,0.317139001,0.3,---,1
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,7.5,SM,0.317139001,0.3,---,1
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,7.5,SM,0.317139001,0.3,---,1
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,7.5,SM,0.317139001,0.3,---,1
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,7.5,SM,0.317139001,0.3,---,1
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,3,SM,0.12145749,0.1,---,1
2010-11,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,RE,0.033333333,0,---,1
2011-12,Aboriginal Community Mental Health Worker,ACMHW,SCH,6,HA,0.01,0,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,150,HA,0.1953125,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,150,HA,0.1953125,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,169.286,HA,0.220424479,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,150,HA,0.1953125,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,150,HA,0.1953125,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,150,HA,0.1953125,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,150,HA,0.1953125,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,150,HA,0.1953125,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,150,HA,0.1953125,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,150,HA,0.1953125,0.2,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,HA,0.79757085,0.8,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,HA,0.79757085,0.8,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,HA,0.79757085,0.8,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,HA,0.79757085,0.8,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,15.5,HA,0.601889339,0.6,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,HA,0.79757085,0.8,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,HA,0.79757085,0.8,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,HA,0.79757085,0.8,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,20,HA,0.79757085,0.8,---,1
2012-13,Aboriginal Community Mental Health Worker,ACMHW,SCH,15.5,HA,0.601889339,0.6,---,1
2013-14,Aboriginal Community Mental Health Worker,ACMHW,SCH,4.5,HA,0.195681511,0.2,---,1
2016-17,ACE IT Plumbing Foundations,ACPLUMF,SCH,0,PR,0,0,---,1
2016-17,ACE IT Plumbing Foundations,ACPLUMF,SCH,0,PR,0,0,---,1
2016-17,ACE IT Plumbing Foundations,ACPLUMF,SCH,630,PR,1,1,---,1
2016-17,ACE IT Plumbing Foundations,ACPLUMF,SCH,630,PR,1,1,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2015-16,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2015-16,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2015-16,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,1080,TE,1,1,---,1
2015-16,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Heavy Mechanical Foundation,ACHMF,SCH,0,TE,0,0,---,1
