SEC_START_DATE,SEC_END_DATE,CRS_NAME,SEC_NAME,SEC_SHORT_TITLE,startTime,endTime,startTimeInteger,endTimeInteger,SEC_DEPTS,DEPTS_DESC,count,DoW,value,DoWIndex
2015-09-14T00:00:00Z,2015-12-18T00:00:00Z,ENGL-151,ENGL-151-TEV1R,Technical Writing I,61200,72000,17,20,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-14T00:00:00Z,2015-12-18T00:00:00Z,PHIL-210,PHIL-210-TEV1,Environmental Ethics,32400,NA,9,12,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-09T00:00:00Z,2015-12-18T00:00:00Z,BIOL-101,BIOL-101-TEF1,Introductory Biology I -,57600,63000,16,17,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CHEM-101,CHEM-101-TEF1,Introductory Chemistry I,41400,46800,11,13,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-09T00:00:00Z,2015-12-18T00:00:00Z,CHEM-121,CHEM-121-TEF1,Principles of Chemistry I,30600,36000,8,10,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-14T00:00:00Z,2015-12-18T00:00:00Z,GEOG-110,GEOG-110-TEF1,People and the Environment,46800,57600,13,16,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-09T00:00:00Z,2015-12-18T00:00:00Z,MATH-101,MATH-101-TEF1,Calculus I: Differential,36000,41400,10,11,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-09T00:00:00Z,2015-12-18T00:00:00Z,MATH-190,MATH-190-TEF1,Principles of Mathematics for,46800,54000,13,15,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-09T00:00:00Z,2015-12-18T00:00:00Z,PHYS-101,PHYS-101-TEF1,Introduction to Physics I,46800,50400,13,14,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-09T00:00:00Z,2015-12-18T00:00:00Z,PHYS-121,PHYS-121-TEF1,Advanced Physics I,NA,46800,12,13,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-14T00:00:00Z,2015-12-18T00:00:00Z,PSYC-101,PSYC-101-TEF1,Introductory Psychology I,46800,57600,13,16,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-14T00:00:00Z,2015-12-18T00:00:00Z,PSYC-101,PSYC-101-TEF1R,Introductory Psychology I,46800,57600,13,16,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-14T00:00:00Z,2015-12-18T00:00:00Z,PSYC-101,PSYC-101-TEF2,Introductory Psychology I,61200,72000,17,20,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-14T00:00:00Z,2015-12-18T00:00:00Z,PSYC-101,PSYC-101-TEF2R,Introductory Psychology I,61200,72000,17,20,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-14T00:00:00Z,2015-12-18T00:00:00Z,MATH-101T,MATH-101T-TEO1,Math 101 Tutorial,68400,73800,19,20,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-14T00:00:00Z,2015-12-18T00:00:00Z,ENGL-151,ENGL-151-TEV1,Technical Writing I,61200,72000,17,20,UC,University Credit,1.0,CSM_MONDAY,1,1.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,ANTH-102,ANTH-102-TEF1,Intro Social and Cultural Anth,46800,57600,13,16,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,HIST-231,HIST-231-TEV1,Germany in the 20th Century,64800,75600,18,21,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,ANTH-102,ANTH-102-TEF1R,Intro Social and Cultural Anth,46800,57600,13,16,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,BIOL-101L,BIOL-101L-TEL1,Lab Introductory Biology I -,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,BIOL-101L,BIOL-101L-TEL2,Lab Introductory Biology I -,46800,57600,13,16,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,BIOL-131,BIOL-131-TEF1,Human Anatomy & Physiology I,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,BIOL-131,BIOL-131-TEF1R,Human Anatomy & Physiology I,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CHEM-101L,CHEM-101L-TEL1,Lab Introductory Chemistry I,46800,57600,13,16,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CHEM-101L,CHEM-101L-TEL1,Lab Introductory Chemistry I,46800,57600,13,16,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CHEM-101L,CHEM-101L-TEL1,Lab Introductory Chemistry I,46800,57600,13,16,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CHEM-101L,CHEM-101L-TEL1,Lab Introductory Chemistry I,46800,57600,13,16,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CHEM-121L,CHEM-121L-TEL1,Lab Principles of Chemistry I,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CHEM-121L,CHEM-121L-TEL1,Lab Principles of Chemistry I,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CHEM-121L,CHEM-121L-TEL1,Lab Principles of Chemistry I,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CHEM-121L,CHEM-121L-TEL1,Lab Principles of Chemistry I,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,CPSC-111L,CPSC-111L-TEL1R,Lab Introduction to Computers,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,PSYC-201,PSYC-201-TEF1,Developmental Psychology I,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
2015-09-08T00:00:00Z,2015-12-18T00:00:00Z,PSYC-201,PSYC-201-TEF1R,Developmental Psychology I,32400,NA,9,12,UC,University Credit,1.0,CSM_TUESDAY,1,2.0
